name,category,latitude,longitude,distance,bike_location,rating,popularity,price
Irene's,Diner,30.269805,-97.751084,77,"30.27041,-97.75046",8.0,0.9905361028684471,1.0
Taquero Mucho,Taco Restaurant,30.269848,-97.751146,77,"30.27041,-97.75046",,0.9691315529179031,1.0
Whiskey Tango Foxtrot Icehouse,Music Venue,30.269774,-97.749838,92,"30.27041,-97.75046",7.3,0.983406528189911,2.0
Buford's,Bar,30.270171,-97.749646,93,"30.27041,-97.75046",6.7,0.9969139465875371,2.0
Rio Rooftop Bar,Cocktail Bar,30.270024,-97.749324,105,"30.27041,-97.75046",6.1,0.9513669634025718,3.0
Pop,Cocktail Bar,30.270074,-97.749178,107,"30.27041,-97.75046",6.0,0.9480118694362017,3.0
Via 313 Pizza,Pizzeria,30.269459,-97.750033,113,"30.27041,-97.75046",,,
Hookah Social,Night Club,30.270024,-97.749324,117,"30.27041,-97.75046",,,
Rio,Night Club,30.270024,-97.749324,117,"30.27041,-97.75046",,,
Rio Rooftop Pool Lounge & Rstr,Night Club,30.270024,-97.749324,117,"30.27041,-97.75046",,,
Dirty Bill's,Dive Bar,30.269752,-97.749366,120,"30.27041,-97.75046",7.8,0.9741167161226508,1.0
Key Bar,Night Club,30.269659,-97.74945,120,"30.27041,-97.75046",6.7,0.9712047477744807,1.0
The Rio Bar,Bar,30.270169,-97.749205,123,"30.27041,-97.75046",,,
J. Carver's,Steakhouse,30.269527,-97.749468,128,"30.27041,-97.75046",,0.9580217606330366,4.0
Powder Room,Restaurant,30.270074,-97.749178,128,"30.27041,-97.75046",,,
Hoffbrau Steak,Steakhouse,30.269684,-97.749377,142,"30.27041,-97.75046",5.4,0.8799525222551928,4.0
Hula Hut,Hawaiian Restaurant,30.295315,-97.78427,75,"30.29439,-97.78375",8.3,0.9939149357072206,2.0
Abel's on the Lake,American Restaurant,30.295358,-97.784333,115,"30.29439,-97.78375",6.1,0.9469990108803166,2.0
Mozart's Coffee Roasters,Bakery,30.295315,-97.78427,131,"30.29439,-97.78375",9.2,0.9983382789317508,1.0
Austin Party Cruises,Restaurant,30.294979,-97.783563,325,"30.29439,-97.78375",,0.8977408506429277,
Central District Brewi,Bar,30.2651,-97.737457,82,"30.26438,-97.73657",7.5,0.9896498516320474,2.0
Texas Reds and Whites Tasting Room,Wine Bar,30.264828,-97.737499,82,"30.26438,-97.73657",,0.8727675568743818,2.0
Eighteenth Over Austin,American Restaurant,30.26519,-97.73551,135,"30.26438,-97.73657",,,
Moonshine Patio Bar & Grill,Cocktail Bar,30.263844,-97.737928,162,"30.26438,-97.73657",8.9,0.9963442136498516,2.0
Texas Coffee Trad,Coffee Shop,30.288993,-97.736435,93,"30.2896,-97.7366",6.1,0.9240593471810089,1.0
Austin's Habibi,Mediterranean Restaurant,30.269374,-97.753083,66,"30.2692,-97.7535",7.3,0.8613095944609298,1.0
Tiniest Bar In Texas,Night Club,30.269374,-97.753083,69,"30.2692,-97.7535",7.5,0.9732700296735906,1.0
Super Burrito on 5th,Fast Food Restaurant,30.269374,-97.753083,75,"30.2692,-97.7535",7.5,0.9462551928783383,1.0
5th Street Seafood,Seafood Restaurant,30.270422,-97.753404,125,"30.2692,-97.7535",,0.9335311572700297,3.0
Next Level Burger Austin,Burger Joint,30.270515,-97.75332,147,"30.2692,-97.7535",,,
Next Level Clucker Austin,Burger Joint,30.270515,-97.75332,160,"30.2692,-97.7535",,0.892375865479723,2.0
Veracruz All Natural,Taco Restaurant,30.263007,-97.744477,68,"30.26332,-97.74508",7.9,0.9900375865479724,1.0
Rising Roll Cafe- Austin,Deli,30.264097,-97.74486,79,"30.26332,-97.74508",,0.8857368941641939,1.0
Fareground,Restaurant,30.263465,-97.744268,91,"30.26332,-97.74508",9.1,0.994919881305638,2.0
Alfred,Coffee Shop,30.262793,-97.744166,96,"30.26332,-97.74508",7.4,0.9785004945598418,1.0
P6,Cocktail Bar,30.262868,-97.743947,101,"30.26332,-97.74508",7.4,0.9723600395647873,3.0
Arlo Grey,American Restaurant,30.262835,-97.744228,104,"30.26332,-97.74508",8.4,0.9721780415430267,2.0
P6,Bar,30.263155,-97.744007,104,"30.26332,-97.74508",,0.9154817012858556,2.0
Little Wu,Chinese Restaurant,30.263551,-97.743594,107,"30.26332,-97.74508",,0.9323363006923838,1.0
Italic,Italian Restaurant,30.263487,-97.743644,109,"30.26332,-97.74508",,0.759351137487636,2.0
Mama Fu's Takeout & Delivery,Restaurant,30.263968,-97.745985,112,"30.26332,-97.74508",,,
Austin Rotisserie,Comfort Food Restaurant,30.2636,-97.743611,143,"30.26332,-97.74508",,0.888379821958457,3.0
Taco Pegaso,Taco Restaurant,30.263693,-97.743643,144,"30.26332,-97.74508",,,
The Austonian Club,Cocktail Bar,30.264494,-97.744347,148,"30.26332,-97.74508",,0.04808704253214639,3.0
Olamaie,American Restaurant,30.279886,-97.743661,67,"30.27924,-97.74371",7.2,0.9668526211671612,3.0
Little Ola's,Southern / Soul Food Restaurant,30.279948,-97.743847,79,"30.27924,-97.74371",,0.22219584569732936,1.0
Juliet,Cocktail Bar,30.279695,-97.742713,108,"30.27924,-97.74371",,,
Lions Clubs International,Bar,30.278233,-97.743189,122,"30.27924,-97.74371",,,
Clay Pit,Restaurant,30.278987,-97.742339,123,"30.27924,-97.74371",8.4,0.9871968348170128,2.0
Murphy's Deli,Restaurant,30.278161,-97.743108,133,"30.27924,-97.74371",,,
Pluckers Wing Bar,Sports Bar,30.286485,-97.74504,18,"30.2862,-97.74516",8.4,0.9972225519287834,2.0
Bao'd Up,Asian Restaurant,30.286596,-97.745092,44,"30.2862,-97.74516",,,
UTea Pho,Sandwich Restaurant,30.286395,-97.745676,52,"30.2862,-97.74516",,0.9855588526211672,2.0
Raku Sushi and Asian Bistro,Asian Restaurant,30.286656,-97.74529,69,"30.2862,-97.74516",6.3,0.9553788328387735,2.0
Mango Mango,Dessert Shop,30.286596,-97.745092,75,"30.2862,-97.74516",,0.931513353115727,1.0
Austin's Pizza,Pizzeria,30.286656,-97.74529,96,"30.2862,-97.74516",,0.897084075173096,1.0
Syriano Shawarma,Falafel Restaurant,30.287226,-97.744821,118,"30.2862,-97.74516",,,
Taverna,Pizzeria,30.265016,-97.746305,56,"30.26476,-97.74678",8.3,0.9782789317507419,2.0
Mooby’s,Theme Restaurant,30.265194,-97.747115,57,"30.26476,-97.74678",,0.08552324431256182,
III Forks,Steakhouse,30.264236,-97.746703,60,"30.26476,-97.74678",7.8,0.9643679525222552,4.0
The Secret Room,Hotel Bar,30.265477,-97.746648,64,"30.26476,-97.74678",,0.11620178041543026,3.0
Lavaca 514,Night Club,30.265359,-97.746804,66,"30.26476,-97.74678",,,
Jo's Coffee,Coffee Shop,30.264751,-97.746139,67,"30.26476,-97.74678",8.5,0.9824411473788328,1.0
Cru Wine Bar,Wine Bar,30.264751,-97.746139,69,"30.26476,-97.74678",8.2,0.9141918892185954,2.0
Living Room,Hotel Bar,30.265341,-97.746669,79,"30.26476,-97.74678",7.7,0.9673115727002968,3.0
Trace,New American Restaurant,30.265376,-97.746939,91,"30.26476,-97.74678",7.1,0.9670662710187933,3.0
Malverde,Lounge,30.265526,-97.747814,101,"30.26476,-97.74678",7.5,0.8681384767556874,3.0
Serve Gourmet,Restaurant,30.265574,-97.745804,104,"30.26476,-97.74678",,0.5173254203758655,
Upstairs Circus Atx Ll,Arts and Entertainment,30.264902,-97.745702,104,"30.26476,-97.74678",,,
The Secret Bar,Arts and Entertainment,30.265563,-97.746772,109,"30.26476,-97.74678",6.7,0.8803877349159248,3.0
Which Wich,Restaurant,30.265703,-97.745991,114,"30.26476,-97.74678",7.0,0.8555252225519288,1.0
Lamberts Downtown Barbecue,Music Venue,30.265197,-97.747862,116,"30.26476,-97.74678",8.5,0.9798219584569733,3.0
Mama Fu's Takeout & Delivery,Restaurant,30.263968,-97.745985,116,"30.26476,-97.74678",,,
La Condesa,Mexican Restaurant,30.265501,-97.747887,120,"30.26476,-97.74678",8.4,0.9734915924826905,3.0
Edge Rooftop,Cocktail Bar,30.265749,-97.746606,120,"30.26476,-97.74678",,0.8876676557863501,2.0
Popbar,Ice Cream Parlor,30.265617,-97.745867,142,"30.26476,-97.74678",,0.5952759643916914,1.0
Peli Peli,American Restaurant,30.265385,-97.74542,147,"30.26476,-97.74678",,,
Bar Chi Sushi,Sushi Restaurant,30.265052,-97.745264,154,"30.26476,-97.74678",7.6,0.9693689416419387,2.0
Violet Crown Cinemas,Drive-in Theater,30.265519,-97.748022,159,"30.26476,-97.74678",8.8,0.9795529179030663,
Sweetgreen,Restaurant,30.264904,-97.745674,224,"30.26476,-97.74678",7.8,0.9719643916913947,1.0
Murphy's Deli,Deli,30.270356,-97.744992,21,"30.27048,-97.74467",,0.9479564787339269,1.0
Luby's Etc,Café,30.270263,-97.745076,54,"30.27048,-97.74467",,0.0635568743818002,2.0
Athenian Grill,Bar,30.269574,-97.743526,148,"30.27048,-97.74467",,,
The Iron Bear,Night Club,30.269989,-97.743255,224,"30.27048,-97.74467",7.4,0.9868328387734916,1.0
Garrison,American Restaurant,30.26207,-97.738411,19,"30.26211,-97.73875",6.6,0.9543659742828883,2.0
Revue,Bar,30.26207,-97.738411,20,"30.26211,-97.73875",,0.9468486646884273,
Iron Works Barbecue,Restaurant,30.262141,-97.738952,22,"30.26211,-97.73875",7.9,0.9846726013847675,2.0
Rules & Regs,Cocktail Bar,30.262163,-97.738327,41,"30.26211,-97.73875",6.2,0.9607359050445103,3.0
Fulton,Hotel Bar,30.262206,-97.73839,52,"30.26211,-97.73875",6.7,0.9730009891196835,3.0
Good Things,Café,30.262095,-97.738338,53,"30.26211,-97.73875",6.5,0.9463659742828883,1.0
Downtown Burgers,Burger Joint,30.261951,-97.739879,102,"30.26211,-97.73875",,0.9367200791295747,1.0
The Alibi,Sports Bar,30.260811,-97.73833,142,"30.26211,-97.73875",6.6,0.8796360039564788,2.0
Tommy Want Wingy,American Restaurant,30.260811,-97.73833,165,"30.26211,-97.73875",,0.11898714144411474,1.0
Sosa Mediterranean Foods,Mediterranean Restaurant,30.261951,-97.739879,1421,"30.26211,-97.73875",,0.8893926805143423,1.0
Copper Restaurant,Bistro,30.258581,-97.746684,71,"30.25872,-97.74614",,0.8647438180019782,3.0
Soco Bar & Bites,Cocktail Bar,30.258567,-97.7471,72,"30.25872,-97.74614",,0.64162215628091,1.0
Barrr,Beer Bar,30.259361,-97.746286,83,"30.25872,-97.74614",,0.8688189910979228,
Hyatt Regency-Marker 10 Spirits & Cuisine,Bar,30.259178,-97.747005,97,"30.25872,-97.74614",,,
La Holly,Cocktail Bar,30.259035,-97.714312,26,"30.25902,-97.71479",7.7,0.9538437190900099,2.0
Sosa Mediterranean Foods,Mediterranean Restaurant,30.259035,-97.714312,45,"30.25902,-97.71479",,,
Ararat Mid-East Fusion,Arts and Entertainment,30.259224,-97.716008,119,"30.25902,-97.71479",,,
Greater Goods Coffee Roasters,Café,30.257748,-97.715064,127,"30.25902,-97.71479",9.1,0.9868803165182987,1.0
Ararat ToGo + Coffee Window,"Cafes, Coffee, and Tea Houses",30.259204,-97.716183,135,"30.25902,-97.71479",,,
The Pershing,Cocktail Bar,30.25793,-97.715657,157,"30.25902,-97.71479",,0.9586231454005935,
Trifecta On 3rd,Lounge,30.267542,-97.749433,19,"30.26709,-97.74947",6.0,0.9567240356083087,2.0
Meat & Bread,Sandwich Restaurant,30.267083,-97.749849,37,"30.26709,-97.74947",,0.9117546983184965,1.0
JuiceLand,Restaurant,30.266787,-97.749758,43,"30.26709,-97.74947",,,
Poke Bowl,Poke Restaurant,30.267417,-97.749798,47,"30.26709,-97.74947",,0.9043639960435212,
Polvo's DT,Mexican Restaurant,30.267292,-97.749907,47,"30.26709,-97.74947",,,
Polvo's Downtown,Mexican Restaurant,30.267445,-97.749405,61,"30.26709,-97.74947",,0.8693333333333333,1.0
Hestia,American Restaurant,30.266737,-97.749903,67,"30.26709,-97.74947",8.6,0.9287438180019782,4.0
Intelligentsia Co,Coffee Shop,30.266651,-97.749779,68,"30.26709,-97.74947",7.7,0.9748209693372898,1.0
Kalimotxo,Tapas Restaurant,30.266737,-97.749903,74,"30.26709,-97.74947",7.4,0.9025123639960435,3.0
Juan Pelota Café,Coffee Shop,30.268,-97.749224,96,"30.26709,-97.74947",8.5,0.9534401582591494,1.0
Polvo's Downtown Mexican Restaurant,Mexican Restaurant,30.266644,-97.749987,104,"30.26709,-97.74947",6.4,0.9516280909990109,1.0
The Mockingbird,Bar,30.266244,-97.749842,118,"30.26709,-97.74947",,0.9427814045499505,1.0
Goldie’s,Cocktail Bar,30.266168,-97.750061,123,"30.26709,-97.74947",,0.9511928783382789,3.0
Goldie's Sunken Bar,Cocktail Bar,30.2661,-97.750071,124,"30.26709,-97.74947",,,
The Codependent,Cocktail Bar,30.26772,-97.750786,127,"30.26709,-97.74947",8.2,0.9807161226508407,3.0
La Piscina,Mexican Restaurant,30.266097,-97.750159,128,"30.26709,-97.74947",7.6,0.9311177052423343,1.0
Flower Child,American Restaurant,30.265858,-97.749281,136,"30.26709,-97.74947",8.4,0.9690682492581603,3.0
Wendy's,Fast Food Restaurant,30.282978,-97.737094,24,"30.28298,-97.73731",5.2,0.9799881305637982,1.0
Jesta Pizza,Pizzeria,30.282899,-97.736761,69,"30.28298,-97.73731",,0.9499030662710188,1.0
J2 Jester second Floor Dining,Buffet,30.282577,-97.736949,77,"30.28298,-97.73731",,0.9980613254203758,
Figure 8 Coffe,Café,30.266629,-97.720101,169,"30.2664,-97.72164",8.9,0.9754935707220573,1.0
Rockstar Bagels,Bagel Shop,30.26998,-97.718958,56,"30.26976,-97.7184",9.0,0.9673353115727003,1.0
Mohawk,Rock Club,30.270039,-97.735999,62,"30.27018,-97.73531",8.9,0.9897685459940653,1.0
The backYard at Waller Creek,Music Venue,30.270412,-97.734353,78,"30.27018,-97.73531",7.5,0.8937685459940653,3.0
Quesoff III,Bar,30.269921,-97.736155,86,"30.27018,-97.73531",,,
Sheraton Hotel Bar,Hotel Bar,30.270684,-97.734311,96,"30.27018,-97.73531",5.7,0.9946904055390702,3.0
Cheer Up Charlies,Cocktail Bar,30.269574,-97.736416,106,"30.27018,-97.73531",8.8,0.9886607319485657,2.0
HapPea Vegans,Restaurant,30.26969,-97.736358,114,"30.27018,-97.73531",,,
Sheraton Club Level Lounge,Hotel Bar,30.270623,-97.734113,117,"30.27018,-97.73531",5.9,0.944917903066271,3.0
Cheer Up Charlie's Inside,Bar,30.269626,-97.736373,119,"30.27018,-97.73531",,0.8230662710187933,2.0
Arlo's,American Restaurant,30.269574,-97.736416,126,"30.27018,-97.73531",8.4,0.9119604352126607,1.0
Serranos Cafe & Cantina Downtown - Symphony Square,Tex-Mex Restaurant,30.271513,-97.735079,149,"30.27018,-97.73531",,,
Sushi Zushi,Sushi Restaurant,30.274466,-97.76465,19,"30.27454,-97.7645",7.8,0.952,2.0
Stubb's Bar-B-Que,BBQ Joint,30.274574,-97.76415,33,"30.27454,-97.7645",,,
El Arroyo,Tex-Mex Restaurant,30.274788,-97.764462,34,"30.27454,-97.7645",7.7,0.9815469831849654,2.0
El Arroyo Catering,Latin American Restaurant,30.274795,-97.764254,36,"30.27454,-97.7645",,,
Do-Rite BBQ,BBQ Joint,30.274391,-97.764869,39,"30.27454,-97.7645",,,
Castle Hill Cafe,Restaurant,30.27471,-97.764129,40,"30.27454,-97.7645",,,
Mean Eyed Cat,Dive Bar,30.274434,-97.764931,43,"30.27454,-97.7645",,,
Stubb's Bar B Q At The Mean,BBQ Joint,30.274434,-97.764931,43,"30.27454,-97.7645",,,
Mean Eyed Cat Beer Bar,Bar,30.274521,-97.764961,44,"30.27454,-97.7645",,0.8785519287833828,2.0
Metcalf Barbecue,Beer Bar,30.274521,-97.764969,45,"30.27454,-97.7645",,,
Mean Eyed Cat,Bar,30.274636,-97.765051,53,"30.27454,-97.7645",8.8,0.9803363006923838,1.0
Donn's Depot,Bar,30.274016,-97.763339,136,"30.27454,-97.7645",8.1,0.9815628090999011,1.0
PubCrawler of Austin,Arts and Entertainment,30.274832,-97.763213,677,"30.27454,-97.7645",8.2,0.9377566765578635,
Anything's Baked Potat,Cajun / Creole Restaurant,30.26913,-97.724613,29,"30.26908,-97.72429",,0.1194698318496538,2.0
Project Pollo,Sandwich Restaurant,30.268703,-97.724162,43,"30.26908,-97.72429",,,
Side Spot Superette,Beer Bar,30.268626,-97.724208,44,"30.26908,-97.72429",,0.6418041543026706,2.0
East Side Pies,Pizzeria,30.268651,-97.724135,45,"30.26908,-97.72429",8.1,0.9469594460929772,2.0
George Washington Carver Genealogy Center,Museum,30.269928,-97.72433,94,"30.26908,-97.72429",,,
Boyd Vance Theater,Museum,30.270021,-97.724267,95,"30.26908,-97.72429",7.0,0.05593669634025717,
Micklethwait Craft Meats,BBQ Joint,30.268547,-97.725186,107,"30.26908,-97.72429",8.9,0.9375905044510385,2.0
Taco Bronco Pop Up,BBQ Joint,30.268467,-97.725182,109,"30.26908,-97.72429",,,
George Washington Carver Museum,History Museum,30.270021,-97.724267,123,"30.26908,-97.72429",7.7,0.9492304648862513,
Taco Bronco,Taco Restaurant,30.268615,-97.725176,2873,"30.26908,-97.72429",,0.6211592482690406,1.0
Lone Star Hokahs and Events,Night Club,30.258877,-97.723377,90,"30.25968,-97.72321",,,
La Super Michoacana,Ice Cream Parlor,30.259404,-97.721846,216,"30.25968,-97.72321",,0.8333768545994066,1.0
Juniper,Cocktail Bar,30.254803,-97.717455,89,"30.25544,-97.71677",8.4,0.9415628090999011,2.0
Nom Burgers,Burger Joint,30.25482,-97.717432,93,"30.25544,-97.71677",,,
Blue Owl Brewing,Beer Bar,30.254707,-97.716987,94,"30.25544,-97.71677",8.3,0.9382868447082097,2.0
Possum Pizza,Pizzeria,30.255127,-97.718262,147,"30.25544,-97.71677",,,
Milky Way Shakes,Dessert Shop,30.255089,-97.718234,161,"30.25544,-97.71677",,0.8768981206726014,1.0
The Vegan Nom,Latin American Restaurant,30.255003,-97.718183,8593,"30.25544,-97.71677",,0.34199802176063304,2.0
Nido,Restaurant,30.264075,-97.756855,67,"30.26437,-97.75624",,0.9790781404549951,2.0
The Grackle,Dive Bar,30.262597,-97.724186,12,"30.2627,-97.7243",7.9,0.9654124629080119,1.0
Drop Kick,Music Venue,30.262728,-97.724711,48,"30.2627,-97.7243",,0.9126013847675569,3.0
Zilker Brewing Co,Brewery,30.262167,-97.72466,58,"30.2627,-97.7243",9.1,0.9872680514342236,2.0
The Liberty,Dive Bar,30.262739,-97.725054,75,"30.2627,-97.7243",8.7,0.9786904055390703,1.0
East Side King,Asian Restaurant,30.262757,-97.72519,75,"30.2627,-97.7243",8.4,0.8981998021760633,2.0
The Liberty,Bar,30.262671,-97.725085,75,"30.2627,-97.7243",,,
Spicy Boys Fried Chicken,Dessert Shop,30.262063,-97.7244,78,"30.2627,-97.7243",7.7,0.8905163204747775,
Hot Mess,BBQ Joint,30.261988,-97.724619,84,"30.2627,-97.7243",,,
Kohana Coffee,Coffee Shop,30.262135,-97.724941,87,"30.2627,-97.7243",,,
Suerte,Mexican Restaurant,30.262175,-97.723141,112,"30.2627,-97.7243",9.2,0.9813254203758655,1.0
Tamale House East,Taco Restaurant,30.261613,-97.724401,125,"30.2627,-97.7243",7.8,0.9349238377843719,1.0
Via 313 Pizza,Pizzeria,30.26215,-97.723214,131,"30.2627,-97.7243",9.1,0.9778753709198813,1.0
Nasha,Asian Restaurant,30.263744,-97.724857,132,"30.2627,-97.7243",6.6,0.9633867457962414,2.0
Yellow Jacket Social Club,Lounge,30.261716,-97.724661,139,"30.2627,-97.7243",8.5,0.9741879327398615,1.0
Poe's Fuego,Caribbean Restaurant,30.262545,-97.722832,141,"30.2627,-97.7243",,,
Rosarito,Mexican Restaurant,30.262046,-97.722954,148,"30.2627,-97.7243",,,
Dolce Bacio Gelato,Restaurant,30.263075,-97.725761,153,"30.2627,-97.7243",,0.8663184965380811,1.0
Fogo De Chao,Brazilian Restaurant,30.264193,-97.740842,35,"30.26428,-97.74033",7.7,0.9747655786350148,4.0
STK,Steakhouse,30.2642,-97.7409,55,"30.26428,-97.74033",,,
Cafe Blue Downtown Austin,Seafood Restaurant,30.263624,-97.740999,85,"30.26428,-97.74033",6.3,0.9742195845697329,3.0
MAX's Wine Dive Austin,Wine Bar,30.264393,-97.74157,92,"30.26428,-97.74033",7.8,0.9064609297725025,3.0
Fleming's Prime Steakhouse & Wine Bar,Steakhouse,30.263685,-97.741197,93,"30.26428,-97.74033",8.1,0.9402967359050445,4.0
Max's Underground,Bar,30.264461,-97.74156,100,"30.26428,-97.74033",,0.9091513353115727,2.0
Gallery Restaurant Group,Restaurant,30.26485,-97.741157,101,"30.26428,-97.74033",,,
Vince Young Steakhouse,American Restaurant,30.264747,-97.741101,102,"30.26428,-97.74033",7.8,0.9850445103857567,3.0
P.F. Chang's China Bistro,Chinese Restaurant,30.263763,-97.74153,117,"30.26428,-97.74033",7.5,0.9759287833827893,2.0
Mai Thai Restaurant,Thai Restaurant,30.264393,-97.74157,123,"30.26428,-97.74033",7.4,0.9802729970326409,2.0
Marriott Courtyard - Lobby,Hotel Bar,30.265517,-97.74036,137,"30.26428,-97.74033",5.5,0.08310187932739861,3.0
Micheladas Cafe y Cantina,Bar,30.263267,-97.740917,158,"30.26428,-97.74033",7.0,0.9443086053412463,2.0
Le Café Crêpe,French Restaurant,30.263806,-97.741592,175,"30.26428,-97.74033",7.2,0.9524114737883284,2.0
Burgerim-Austin,Burger Joint,30.256684,-97.73911,120,"30.25579,-97.73982",,,
Anthem,Beer Bar,30.260375,-97.737915,3,"30.26078,-97.73808",8.2,0.9916993076162216,3.0
Placeholder,Tiki Bar,30.260838,-97.738207,13,"30.26078,-97.73808",,0.9872363996043522,
Placeholder Austin,Cocktail Bar,30.260813,-97.738212,13,"30.26078,-97.73808",,,
The Alibi,Sports Bar,30.260811,-97.73833,18,"30.26078,-97.73808",6.6,0.8796360039564788,2.0
Tommy Want Wingy,American Restaurant,30.260811,-97.73833,19,"30.26078,-97.73808",,0.11898714144411474,1.0
Lustre Pearl,Bar,30.260709,-97.73833,20,"30.26078,-97.73808",8.6,0.9887636003956479,2.0
Taco Baby,Fast Food Restaurant,30.260718,-97.738414,32,"30.26078,-97.73808",,,
Cazamance,African Restaurant,30.260497,-97.73831,38,"30.26078,-97.73808",,,
Golden Tiger,Comfort Food Restaurant,30.260497,-97.73831,38,"30.26078,-97.73808",,,
Boca,Fast Food Restaurant,30.260471,-97.738383,44,"30.26078,-97.73808",,,
Bungalow,Cocktail Bar,30.260497,-97.73831,46,"30.26078,-97.73808",7.6,0.9224609297725025,1.0
The Container Bar,Bar,30.260471,-97.738383,58,"30.26078,-97.73808",7.2,0.9421958456973294,2.0
Clive Bar,Music Venue,30.260039,-97.738519,80,"30.26078,-97.73808",7.6,0.9912878338278932,2.0
IHOP,American Restaurant,30.261026,-97.737331,86,"30.26078,-97.73808",5.9,0.9971038575667656,1.0
Bar Ilegal,Bar,30.260039,-97.738519,92,"30.26078,-97.73808",7.4,0.8731790306627102,2.0
Little Brother,Bar,30.26001,-97.738041,93,"30.26078,-97.73808",7.8,0.9524668644906034,2.0
double trouble BBQ,BBQ Joint,30.259971,-97.73853,94,"30.26078,-97.73808",,0.3143343224530168,2.0
East Ave Lounge,Beer Garden,30.259803,-97.737521,102,"30.26078,-97.73808",,0.731188921859545,1.0
The Drafting Room,Beer Bar,30.260039,-97.738519,104,"30.26078,-97.73808",8.2,0.9410959446092977,2.0
Asador,BBQ Joint,30.259943,-97.738612,106,"30.26078,-97.73808",,,
Parlor Room,Cocktail Bar,30.25981,-97.738624,114,"30.26078,-97.73808",7.8,0.9675252225519287,3.0
Rainey Hookah Lounge,Hookah Bar,30.259803,-97.737521,121,"30.26078,-97.73808",,,
Metcalf Barbecue,BBQ Joint,30.259662,-97.738133,124,"30.26078,-97.73808",,,
Rainey Hookah Lounge & Bar,Hookah Bar,30.259728,-97.737739,125,"30.26078,-97.73808",7.0,0.8571394658753709,1.0
Baltimore Ballers,Bakery,30.260418,-97.737977,126,"30.26078,-97.73808",,0.8237546983184966,1.0
Geraldine's,Restaurant,30.260178,-97.73905,129,"30.26078,-97.73808",8.2,0.9638536102868447,3.0
Café 605,Restaurant,30.260178,-97.73905,129,"30.26078,-97.73808",8.1,0.979948565776459,1.0
Stagger Lee,Arts and Entertainment,30.25951,-97.738188,129,"30.26078,-97.73808",7.6,0.9458120672601384,2.0
Augustine Cocktail Lounge,Cocktail Bar,30.259538,-97.738666,131,"30.26078,-97.73808",7.6,0.9559643916913947,3.0
Metcalf BBQ,BBQ Joint,30.259602,-97.73815,131,"30.26078,-97.73808",,0.7474579624134521,2.0
Augustine,Cocktail Bar,30.259649,-97.738718,139,"30.26078,-97.73808",,,
Idle Hands,Cocktail Bar,30.259527,-97.738323,142,"30.26078,-97.73808",,0.970057368941642,2.0
Garrison,American Restaurant,30.26207,-97.738411,149,"30.26078,-97.73808",6.6,0.9543659742828883,2.0
Revue,Bar,30.26207,-97.738411,152,"30.26078,-97.73808",,0.9468486646884273,
Three B's Tacos,Mexican Restaurant,30.259606,-97.738656,154,"30.26078,-97.73808",,0.8101918892185954,1.0
Good Things,Café,30.262095,-97.738338,185,"30.26078,-97.73808",6.5,0.9463659742828883,1.0
Torchy’S Tacos,Mexican Restaurant,30.245541,-97.751677,63,"30.24496,-97.75127",8.8,0.9918496538081107,2.0
Magnolia Cafe South,Restaurant,30.244454,-97.751846,71,"30.24496,-97.75127",8.4,0.9821167161226508,2.0
Magnolia Cafe's Office,Diner,30.244194,-97.751981,109,"30.24496,-97.75127",,,
Big Vinny's BBQ,BBQ Joint,30.245913,-97.751343,4985,"30.24496,-97.75127",,0.1320593471810089,2.0
UTea Pho,Sandwich Restaurant,30.286395,-97.745676,136,"30.2854,-97.74673",,0.9855588526211672,2.0
Nate's Kitchen,Southern / Soul Food Restaurant,30.293552,-97.743942,50,"30.29312,-97.74412",,,
Les Bobos Crepes,Creperie,30.292515,-97.743965,68,"30.29312,-97.74412",,,
University Towers Food Court,Buffet,30.287843,-97.746141,68,"30.28731,-97.7465",,,
Thundercloud Subs,Fast Food Restaurant,30.287747,-97.745673,93,"30.28731,-97.7465",,,
Arab Cowboy,Hookah Bar,30.287932,-97.746818,102,"30.28731,-97.7465",7.2,0.9505756676557864,2.0
Chef Hong,Chinese Restaurant,30.288003,-97.747359,130,"30.28731,-97.7465",,0.9437942631058358,1.0
UTea Pho,Sandwich Restaurant,30.286395,-97.745676,139,"30.28731,-97.7465",,0.9855588526211672,2.0
Raku Sushi and Asian Bistro,Asian Restaurant,30.286656,-97.74529,182,"30.28731,-97.7465",6.3,0.9553788328387735,2.0
Austin's Pizza,Pizzeria,30.286656,-97.74529,214,"30.28731,-97.7465",,0.897084075173096,1.0
Victorian Room at the Driskill,Music Venue,30.267948,-97.741708,25,"30.26756,-97.7415",7.8,0.9769337289812067,
Eureka,Restaurant,30.267766,-97.741115,36,"30.26756,-97.7415",8.4,0.9862868447082097,2.0
Friends Bar,Dive Bar,30.267766,-97.741115,49,"30.26756,-97.7415",7.1,0.9858516320474777,1.0
1886 Cafe & Bakery,Bakery,30.267948,-97.741708,53,"30.26756,-97.7415",8.5,0.9852502472799208,2.0
New York New York,Music Venue,30.267322,-97.740908,55,"30.26756,-97.7415",,0.871192878338279,2.0
Lit Lounge,Cocktail Bar,30.26734,-97.741043,59,"30.26756,-97.7415",6.1,0.8795964391691394,2.0
Firehouse Lounge,Cocktail Bar,30.267969,-97.741083,60,"30.26756,-97.7415",,,
The Buffalo Lounge,Bar,30.267848,-97.740688,69,"30.26756,-97.7415",,0.10881899109792285,2.0
